Unit_ID,Region,Equipment_Type,Equipment_Quantity,Maintenance_Status,Fuel_Consumption_Litres,Supply_Requests,Delivery_Date,Delivery_Status,Personnel_Count,Operational_Readiness,Monthly_Cost_INR
Unit-115,Northern Command,Transport Vehicle,249,Awaiting Parts,3452.7,9,10-06-2026,Delayed,561,0.97,1682735.8
Unit-106,Eastern Command,COMMUNICATION EQUIPMENT,25,Operational,2206.1,6,05-01-2026,Delivered,315,0.85,479177.99
Unit-115,Western Command,transport vehicle,11,Awaiting Parts,3399.2,23,16-02-2026,Cancelled,239,0.59,1356894.07
Unit-112,Central Command,Transport Vehicle,249,,4329.0,7,10-06-2026,Delayed,633,0.69,575171.82
Unit-127,Northern Command,COMMUNICATION EQUIPMENT,13,Under Maintenance,280.6,8,16-03-2026,Delayed,573,0.47,805780.47
Unit-127,Central Command,COMMUNICATION EQUIPMENT,217,Under Maintenance,3356.1,37,2026-08-07,Delayed,676,0.47,1109695.68
Unit-121,Northern Command,Medical  Unit,45,Under Maintenance,4983.2,16,01/03/2026,Delivered,146,0.6,1886652.45
Unit-115,Central Command,Artillery Support,56,Under Maintenance,1444.5,36,18/05/2026,Delivered,248,0.87,119512.59
Unit-121,Southern Command,Communication Equipment,229,Under Maintenance,1592.8,5,2026-05-02,In Transit,489,0.45,1291215.36
Unit-127,Central Command,COMMUNICATION EQUIPMENT,212,Awaiting Parts,67047.1,27,2026-07-19,Cancelled,132,0.83,1996093.71
Unit-121,Northern Command,Transport Vehicle,15,Decommissioned,3622.6,23,2026-03-31,Delivered,300,0.48,1560687.63
Unit-109,Eastern Command,transport vehicle,17,Operational,1565.6,30,16/02/2026,Cancelled,665,0.98,2204708.37
Unit-121,Northern Command,Engineering Equipment,185,Under Maintenance,2281.3,11,13-01-2026,Delayed,767,0.86,768201.1
Unit-115,Central Command,Medical Unit,146,Decommissioned,1738.5,35,23/01/2026,Delayed,248,0.74,1565100.94
Unit-124,Eastern Command,transport vehicle,130,Operational,4207.3,3,09-04-2026,Delivered,436,0.8,1115312.49
Unit-112,Northern Command,Artillery Support,18,Under Maintenance,1975.2,27,21/03/2026,In Transit,559,0.87,943952.08
Unit-118,Eastern Command,Transport Vehicle,40,Decommissioned,140.2,6,14/07/2026,Delivered,211,0.49,1346297.38
Unit-100,Southern Command,Engineering Equipment,108,Awaiting Parts,4802.1,31,2026-01-18,Cancelled,711,0.83,592425.9
Unit-103,Northern Command,Artillery Support,143,Under Maintenance,1332.6,38,04/04/2026,Delayed,201,0.92,2146426.6
Unit-112,Western Command,Transport Vehicle,94,Awaiting Parts,4489.9,1,18/06/2026,Cancelled,274,1.0,1031290.08
Unit-103,Southern Command,Medical Unit,125,Operational,1123.0,9,27-07-2026,Delayed,21,0.43,2286066.18
Unit-106,Eastern Command,COMMUNICATION EQUIPMENT,239,Operational,4099.9,32,04-03-2026,Delivered,484,0.82,1681079.88
Unit-100,Central Command,Communication Equipment,55,Under Maintenance,4267.4,2,2026-07-22,In Transit,176,0.98,440627.07
Unit-127,Central Command,COMMUNICATION EQUIPMENT,136,Operational,3306.6,12,03/08/2026,In Transit,97,0.93,333025.01
Unit-118,Northern Command,Artillery Support,127,Decommissioned,2522.7,10,18/03/2026,Delivered,165,0.81,450913.29
Unit-121,Northern Command,transport vehicle,28,Under Maintenance,1851.2,30,2026-05-05,In Transit,346,0.69,2063681.97
Unit-127,Western Command,Medical  Unit,22,Awaiting Parts,2608.1,27,17/05/2026,Delayed,430,0.98,1568679.66
Unit-109,Northern Command,Artillery Support,120,Decommissioned,4514.4,20,2026-05-27,Cancelled,652,0.7,1294167.32
Unit-109,Southern Command,Artillery Support,144,Awaiting Parts,4650.4,17,11-04-2026,Delayed,765,0.68,2379652.61
Unit-109,Eastern Command,Communication Equipment,21,Decommissioned,1928.0,33,17-04-2026,Delivered,130,0.76,1183226.16
Unit-124,Western Command,Transport Vehicle,171,Awaiting Parts,4592.8,20,14/02/2026,In Transit,212,0.94,1139176.28
Unit-100,Central Command,Engineering Equipment,34,Decommissioned,2095.9,0,22-04-2026,Delivered,538,1.0,305733.01
Unit-103,Western Command,transport vehicle,172,Awaiting Parts,1424.4,0,2026-08-05,Delivered,111,0.49,1665156.52
Unit-118,Eastern Command,Medical  Unit,178,Operational,2274.1,30,2026-07-07,Delayed,26,0.81,948967.3
Unit-109,Eastern Command,Transport Vehicle,76,Awaiting Parts,1985.2,39,14-03-2026,In Transit,92,0.75,963085.62
Unit-124,Eastern Command,Artillery Support,127,Under Maintenance,2677.4,28,2026-06-21,Delivered,290,0.65,2076282.0
Unit-118,Western Command,Engineering Equipment,171,Decommissioned,425.7,39,26-03-2026,In Transit,322,0.62,1669852.2
Unit-112,Central Command,transport vehicle,242,Under Maintenance,3760.0,24,2026-02-20,Delivered,584,0.82,1065794.09
Unit-103,Central Command,Transport Vehicle,172,Operational,1023.4,31,16/07/2026,In Transit,682,0.94,1310123.03
Unit-127,Southern Command,Medical Unit,11,Awaiting Parts,4162.8,1,16-06-2026,Delayed,46,0.76,1965679.45
Unit-115,Central Command,Medical  Unit,163,Decommissioned,1859.6,6,2026-02-27,In Transit,551,0.47,1885750.42
Unit-127,Central Command,COMMUNICATION EQUIPMENT,217,Under Maintenance,3356.1,37,2026-08-07,Delayed,676,0.47,1109695.68
Unit-115,Western Command,Medical Unit,81,Decommissioned,3437.6,36,25-04-2026,In Transit,639,0.73,381584.9
Unit-109,Northern Command,COMMUNICATION EQUIPMENT,186,Awaiting Parts,193.8,0,2026-08-03,Delivered,732,0.55,475286.83
Unit-118,Southern Command,Medical  Unit,187,Under Maintenance,1845.7,26,15-03-2026,In Transit,177,0.65,2127172.04
Unit-109,Southern Command,Communication Equipment,44,Under Maintenance,1625.6,34,18-02-2026,In Transit,24,0.98,1993866.22
Unit-124,Eastern Command,COMMUNICATION EQUIPMENT,92,Decommissioned,4790.8,9,2026-01-22,Delayed,257,0.8,79554.5
Unit-103,Western Command,Communication Equipment,74,Awaiting Parts,3940.0,22,2026-06-22,Delivered,509,0.93,1452673.69
Unit-118,Northern Command,Engineering Equipment,108,Awaiting Parts,1495.3,7,24-02-2026,In Transit,475,0.57,2166846.75
Unit-106,Eastern Command,Medical Unit,113,Awaiting Parts,3494.2,30,18-01-2026,Delayed,460,0.67,1287643.54
Unit-112,Eastern Command,Medical Unit,163,Operational,2719.6,1,2026-03-03,In Transit,36,0.94,2166704.56
Unit-124,Southern Command,COMMUNICATION EQUIPMENT,95,Awaiting Parts,1211.7,39,27-06-2026,In Transit,192,0.68,945598.09
Unit-103,Western Command,Transport Vehicle,5,Under Maintenance,2228.1,29,2026-05-17,Delayed,227,0.59,1604060.18
Unit-106,Eastern Command,Medical  Unit,139,Decommissioned,2695.5,30,2026-02-04,Cancelled,634,0.91,344053.79
Unit-100,Eastern Command,Medical Unit,29,Decommissioned,852.0,11,20/02/2026,In Transit,708,0.96,535178.33
Unit-121,Eastern Command,Communication Equipment,54,Awaiting Parts,1135.3,18,22-04-2026,Delivered,61,0.9,362690.64
Unit-121,Southern Command,Artillery Support,240,Awaiting Parts,2796.2,4,2026-05-11,Cancelled,782,0.53,1547298.45
Unit-106,Northern Command,Engineering Equipment,65,Decommissioned,1386.7,29,14/03/2026,In Transit,281,0.8,2429451.42
Unit-127,Southern Command,Transport Vehicle,19,Decommissioned,4654.7,33,07-08-2026,Cancelled,274,0.87,598311.02
Unit-106,Southern Command,transport vehicle,97,Awaiting Parts,648.5,21,01-01-2026,In Transit,427,0.47,2319677.21
Unit-109,Southern Command,Transport Vehicle,72,Operational,1740.0,9,03/03/2026,Delayed,114,0.52,1384922.25
Unit-103,Southern Command,Transport Vehicle,51,Decommissioned,3218.4,19,25-07-2026,Cancelled,337,0.78,2223241.13
Unit-127,Western Command,Communication Equipment,68,Operational,2296.2,21,22-05-2026,In Transit,656,0.48,1340941.81
Unit-115,Central Command,Medical Unit,165,,82.3,40,2026-06-28,Delivered,85,0.99,890416.57
Unit-109,Southern Command,COMMUNICATION EQUIPMENT,181,Decommissioned,1840.6,31,2026-07-17,Delayed,376,0.57,1387138.1
Unit-115,Eastern Command,transport vehicle,162,Under Maintenance,4623.0,25,01/06/2026,In Transit,163,0.53,35432825.72
Unit-106,Southern Command,Medical  Unit,99,Decommissioned,56044.8,36,27-03-2026,In Transit,82,0.77,1644820.19
Unit-112,Eastern Command,COMMUNICATION EQUIPMENT,165,Decommissioned,1454.0,32,2026-04-05,In Transit,548,0.94,595490.13
Unit-100,Northern Command,transport vehicle,187,Decommissioned,745.8,2,09/05/2026,Delayed,311,0.43,259906.09
Unit-124,Eastern Command,Engineering Equipment,48,Decommissioned,219.5,1,21/04/2026,Delivered,529,0.74,31614285.24
Unit-100,Eastern Command,Artillery Support,56,Under Maintenance,2864.1,28,01-03-2026,Cancelled,246,0.84,226578.0
Unit-127,Southern Command,COMMUNICATION EQUIPMENT,66,Decommissioned,1330.2,6,01/03/2026,Delayed,543,0.66,2477070.7
Unit-124,Central Command,COMMUNICATION EQUIPMENT,86,Operational,1693.4,14,01-07-2026,Delivered,429,0.54,693371.37
Unit-109,Western Command,Transport Vehicle,120,Under Maintenance,4004.3,10,2026-08-02,Delivered,653,0.92,2227333.51
Unit-124,Northern Command,transport vehicle,108,Awaiting Parts,2830.7,30,08-05-2026,Delayed,270,0.93,1540414.09
Unit-115,Central Command,transport vehicle,126,Awaiting Parts,1459.9,13,2026-03-17,Delivered,182,0.73,1534514.43
Unit-127,Northern Command,COMMUNICATION EQUIPMENT,56,Awaiting Parts,3170.6,38,28/02/2026,Delayed,683,0.61,305545.87
Unit-115,Northern Command,Medical  Unit,125,Under Maintenance,217.8,26,2026-06-10,In Transit,116,0.92,947087.91
Unit-115,Eastern Command,Medical  Unit,213,Under Maintenance,2605.9,13,16-05-2026,Delayed,726,0.73,116254.1
Unit-124,Southern Command,transport vehicle,136,Decommissioned,3341.8,34,30/03/2026,Delivered,133,0.45,1825735.38
Unit-115,Northern Command,Artillery Support,162,Decommissioned,2758.1,35,12/03/2026,Cancelled,164,0.52,1347466.33
Unit-106,Northern Command,Medical Unit,221,Decommissioned,676.5,13,30-05-2026,Cancelled,100,0.96,877949.09
Unit-124,Central Command,Communication Equipment,35,Under Maintenance,559.4,8,22-06-2026,Delivered,263,0.43,76087.41
Unit-115,Northern Command,Engineering Equipment,59,Under Maintenance,1210.4,20,2026-07-23,Delivered,518,0.86,865745.14
Unit-118,Eastern Command,Transport Vehicle,15,,2993.9,37,24/04/2026,Cancelled,274,0.5,50978.96
Unit-124,Eastern Command,Engineering Equipment,23,Awaiting Parts,1949.4,19,23-05-2026,Cancelled,717,0.43,795999.77
Unit-115,Eastern Command,Medical Unit,174,Operational,3141.6,12,2026-02-22,Delayed,320,0.46,1784953.22
Unit-112,Western Command,Artillery Support,36,Under Maintenance,2935.5,12,2026-01-03,Cancelled,758,0.95,1320225.0
Unit-127,Central Command,Transport Vehicle,11,Decommissioned,1804.6,40,02/07/2026,Cancelled,,0.77,433349.96
Unit-124,Southern Command,Engineering Equipment,141,Under Maintenance,4551.9,38,2026-05-16,Cancelled,209,0.45,1871912.32
Unit-124,Western Command,COMMUNICATION EQUIPMENT,158,Decommissioned,3249.5,30,30-05-2026,In Transit,610,0.73,895504.45
Unit-103,Southern Command,Artillery Support,218,Under Maintenance,3909.9,37,2026-04-16,In Transit,,0.78,1068567.18
Unit-115,Central Command,Communication Equipment,186,Operational,3946.8,37,04/03/2026,In Transit,253,0.48,21343381.73
Unit-106,Eastern Command,Artillery Support,188,Decommissioned,4194.4,33,05-06-2026,Delayed,123,0.55,1314268.07
Unit-121,Central Command,Medical  Unit,51,Operational,379.1,8,26/05/2026,Delivered,769,0.92,1294742.5
Unit-106,Western Command,transport vehicle,155,Awaiting Parts,846.6,20,18-02-2026,Delivered,188,0.98,299013.08
Unit-103,Eastern Command,Medical  Unit,48,Decommissioned,1382.1,25,02-07-2026,Cancelled,443,0.81,890445.93
Unit-106,Northern Command,COMMUNICATION EQUIPMENT,109,Under Maintenance,804.1,23,2026-05-11,Delivered,,0.66,31152986.98
Unit-109,Northern Command,Engineering Equipment,99,Awaiting Parts,4488.2,21,2026-04-20,Cancelled,177,0.43,1263363.09
Unit-106,Western Command,Medical  Unit,121,Decommissioned,4669.5,36,2026-04-05,Cancelled,800,0.98,854806.79
Unit-106,Northern Command,Medical  Unit,30,Awaiting Parts,1486.7,34,2026-02-23,Cancelled,386,0.91,1524816.57
Unit-103,Central Command,Communication Equipment,41,Awaiting Parts,85814.2,36,25/01/2026,Cancelled,442,0.68,1887591.47
Unit-103,Eastern Command,Medical  Unit,241,Operational,,13,2026-06-27,Delivered,115,0.94,500362.94
Unit-106,Southern Command,Communication Equipment,230,,2846.7,33,2026-02-10,Delayed,348,0.47,1816252.08
Unit-103,Eastern Command,Communication Equipment,55,Operational,4123.1,35,08-05-2026,Delayed,318,0.89,1978765.16
Unit-118,Eastern Command,COMMUNICATION EQUIPMENT,194,Decommissioned,2108.2,9,15/07/2026,Delayed,783,0.76,174189.09
Unit-124,Eastern Command,Medical Unit,140,Under Maintenance,4848.6,40,02/03/2026,In Transit,275,0.98,461725.1
Unit-100,Northern Command,Transport Vehicle,4,Operational,1975.3,19,06/07/2026,Delayed,518,0.77,824884.77
Unit-118,Central Command,Transport Vehicle,142,Under Maintenance,2724.0,8,2026-07-08,Delivered,418,0.41,48741174.22
Unit-100,Western Command,Engineering Equipment,243,Decommissioned,3883.4,24,11-02-2026,Delayed,,0.41,574370.4
Unit-100,Central Command,Engineering Equipment,48,Awaiting Parts,2204.5,26,25-02-2026,Delayed,161,0.91,1328049.2
Unit-115,Western Command,COMMUNICATION EQUIPMENT,170,Operational,1853.9,33,2026-02-17,In Transit,463,0.52,1689393.9
Unit-112,Southern Command,COMMUNICATION EQUIPMENT,40,Operational,4623.1,8,2026-01-11,Cancelled,320,0.85,2193062.7
Unit-127,Northern Command,Communication Equipment,91,Under Maintenance,2118.7,40,18-05-2026,In Transit,662,0.5,1598959.18
Unit-127,Western Command,transport vehicle,17,Decommissioned,1295.7,15,10/05/2026,Delayed,685,0.89,1650650.05
Unit-127,Northern Command,Artillery Support,22,Operational,257.2,40,2026-04-03,,482,0.74,1588029.42
Unit-127,Northern Command,COMMUNICATION EQUIPMENT,118,Under Maintenance,3135.3,30,19/03/2026,Delivered,741,0.57,1682292.18
Unit-124,Central Command,Medical Unit,158,Operational,2208.2,17,03-05-2026,Delayed,161,0.87,1963415.38
Unit-127,Eastern Command,Medical  Unit,92,Decommissioned,,4,03-08-2026,In Transit,199,0.57,680971.14
Unit-106,Western Command,transport vehicle,126,Awaiting Parts,2522.1,7,2026-04-18,Delivered,716,0.69,1160778.41
Unit-121,Southern Command,Artillery Support,86,Decommissioned,195.5,19,24/07/2026,Delayed,715,0.67,2121703.75
Unit-121,Eastern Command,COMMUNICATION EQUIPMENT,202,Under Maintenance,2471.7,18,2026-06-27,Delivered,746,0.8,1020293.84
Unit-100,Western Command,transport vehicle,218,Decommissioned,4344.9,28,15-03-2026,Delayed,341,0.49,1621396.66
Unit-127,Eastern Command,Transport Vehicle,29,Awaiting Parts,4510.3,37,05/06/2026,Delivered,270,0.81,140970.46
Unit-112,Central Command,Engineering Equipment,117,Decommissioned,2235.1,36,09-08-2026,Delayed,333,0.85,1317129.78
Unit-124,Central Command,Artillery Support,9,Operational,1241.6,38,25/01/2026,Delayed,110,0.42,1495363.89
Unit-106,Central Command,Transport Vehicle,203,Operational,608.8,20,2026-03-03,Delayed,616,0.97,707218.52
Unit-124,Southern Command,Medical  Unit,15,Under Maintenance,3001.6,20,28-06-2026,In Transit,50,0.74,951709.71
Unit-115,Central Command,Medical  Unit,200,Awaiting Parts,3112.8,6,16-07-2026,Delivered,672,0.95,375972.71
Unit-115,Southern Command,Communication Equipment,40,Decommissioned,3784.6,10,25-07-2026,Cancelled,341,0.69,1237131.3
Unit-127,Eastern Command,Transport Vehicle,212,Decommissioned,4480.9,15,31/03/2026,Cancelled,407,0.46,1590191.06
Unit-115,Northern Command,COMMUNICATION EQUIPMENT,225,Awaiting Parts,4556.5,1,30-03-2026,Delivered,322,0.55,949672.59
Unit-103,Western Command,Artillery Support,249,Under Maintenance,253.4,35,04/08/2026,Delivered,703,0.9,338440.99
Unit-109,Northern Command,Medical Unit,40,Awaiting Parts,4990.9,27,11/04/2026,Delivered,318,0.74,345842.86
Unit-106,Central Command,Engineering Equipment,76,Under Maintenance,1310.0,26,05-04-2026,Delivered,605,0.81,1250127.18
Unit-103,Northern Command,COMMUNICATION EQUIPMENT,28,Under Maintenance,100.7,0,04/04/2026,Cancelled,372,0.46,1456791.93
Unit-121,Northern Command,Artillery Support,231,Awaiting Parts,2526.9,0,19/02/2026,Delayed,83,0.59,1308923.1
Unit-121,Central Command,Transport Vehicle,79,Operational,2732.7,2,31-01-2026,Cancelled,171,0.83,1264695.95
Unit-127,Northern Command,Communication Equipment,91,Under Maintenance,2118.7,40,18-05-2026,In Transit,662,0.5,1598959.18
Unit-121,Northern Command,Artillery Support,214,Decommissioned,460.0,7,2026-04-14,Cancelled,244,0.43,1165728.79
Unit-115,Central Command,Communication Equipment,237,Operational,744.3,30,07/02/2026,Delivered,358,0.91,1119225.21
Unit-121,Eastern Command,Artillery Support,206,Operational,1737.8,39,28-06-2026,In Transit,638,0.71,305598.6
Unit-127,Northern Command,Transport Vehicle,87,Awaiting Parts,1007.2,4,2026-04-14,Delayed,32,0.54,578676.94
Unit-103,Northern Command,transport vehicle,56,Operational,,8,25-04-2026,Delivered,476,0.75,1509391.57
Unit-115,Central Command,transport vehicle,116,Awaiting Parts,,4,25-07-2026,Delivered,730,0.52,2412329.32
Unit-109,Northern Command,transport vehicle,88,Under Maintenance,268.6,16,10/01/2026,Delayed,31,0.89,1052037.49
Unit-118,Western Command,COMMUNICATION EQUIPMENT,87,Awaiting Parts,3665.3,27,2026-06-22,Cancelled,92,0.83,911566.66
Unit-103,Southern Command,Medical  Unit,138,Awaiting Parts,4688.5,22,2026-06-14,Delayed,523,0.79,63501.87
Unit-118,Eastern Command,Transport Vehicle,245,Operational,4970.0,27,09/06/2026,Cancelled,184,0.62,945411.35
Unit-124,Southern Command,transport vehicle,221,Decommissioned,,3,19/02/2026,Delayed,455,0.71,1216637.16
Unit-115,Northern Command,Engineering Equipment,141,Operational,1741.7,26,09-01-2026,In Transit,254,0.6,1206963.89
Unit-103,Western Command,Artillery Support,74,Operational,3585.8,27,2026-07-03,Delayed,645,0.66,1732853.37
Unit-103,Southern Command,transport vehicle,201,Awaiting Parts,3560.8,12,26/07/2026,In Transit,308,0.56,1544706.63
Unit-115,Central Command,Communication Equipment,68,,1775.6,7,04-05-2026,Cancelled,627,0.75,583480.4
Unit-100,Southern Command,Artillery Support,185,Operational,294.9,26,26/04/2026,Delayed,679,0.92,1239658.95
Unit-106,Northern Command,Engineering Equipment,191,Awaiting Parts,1927.9,22,2026-03-23,In Transit,159,0.73,954726.26
Unit-100,Southern Command,Communication Equipment,115,Operational,4928.5,38,21/01/2026,Delivered,772,0.47,1664423.47
Unit-109,Northern Command,Medical Unit,169,Decommissioned,3833.3,31,08-02-2026,Delayed,64,0.89,1801776.95
Unit-109,Southern Command,COMMUNICATION EQUIPMENT,72,Under Maintenance,543.8,36,2026-08-04,Delayed,506,0.75,523157.01
Unit-124,Western Command,transport vehicle,55,Operational,461.2,16,30-04-2026,Delayed,96,0.88,1595942.28
Unit-124,Western Command,Medical  Unit,239,Under Maintenance,2821.8,9,09/02/2026,Cancelled,51,0.65,1525174.98
Unit-106,Western Command,Medical Unit,100,Decommissioned,3554.1,23,2026-02-01,Cancelled,585,0.47,685943.82
Unit-109,Southern Command,COMMUNICATION EQUIPMENT,72,Under Maintenance,543.8,36,2026-08-04,Delayed,506,0.75,523157.01
Unit-103,Southern Command,Medical Unit,79,Decommissioned,2599.1,18,25-03-2026,Cancelled,314,0.95,2269508.14
Unit-118,Southern Command,Artillery Support,43,Under Maintenance,4650.6,4,27/07/2026,Delayed,500,0.79,1815726.62
Unit-124,Southern Command,Medical  Unit,215,Operational,4294.7,27,2026-07-05,In Transit,237,0.63,1484064.13
Unit-127,Western Command,transport vehicle,192,Decommissioned,4045.5,30,07-02-2026,Delayed,231,0.6,1309786.06
Unit-118,Central Command,Transport Vehicle,126,Operational,2241.0,5,18/01/2026,Cancelled,165,0.59,470413.29
Unit-103,Southern Command,Medical Unit,73,Under Maintenance,428.4,33,05-01-2026,Delayed,740,0.85,1944625.51
Unit-115,Western Command,Engineering Equipment,8,Decommissioned,2219.8,7,29-01-2026,Cancelled,115,0.64,1238157.73
Unit-115,Eastern Command,COMMUNICATION EQUIPMENT,81,Awaiting Parts,325.5,38,2026-03-22,In Transit,70,0.6,629045.31
Unit-109,Central Command,Medical  Unit,15,Under Maintenance,3569.7,30,2026-08-09,Cancelled,617,0.48,1047026.74
Unit-121,Central Command,transport vehicle,152,Decommissioned,1210.5,40,22/07/2026,Cancelled,383,0.83,1014133.47
Unit-121,Western Command,Medical  Unit,196,Awaiting Parts,1407.3,15,04-01-2026,Delivered,368,0.54,2221393.49
Unit-124,Eastern Command,Medical  Unit,136,Awaiting Parts,3888.4,6,2026-06-18,Cancelled,467,0.69,668873.35
