Unit_ID,Region,Equipment_Type,Equipment_Quantity,Maintenance_Status,Fuel_Consumption_Litres,Supply_Requests,Delivery_Date,Delivery_Status,Personnel_Count,Operational_Readiness,Monthly_Cost_INR,Fuel_Consumption_Litres_was_missing,Personnel_Count_was_missing,Maintenance_Status_was_missing,Delivery_Status_was_missing,Fuel_Consumption_Litres_outlier,Monthly_Cost_INR_outlier,Delivery_Month,Cost_Per_Personnel,Readiness_Band
Unit-100,Eastern Command,Engineering Equipment,86,Under Maintenance,1340.3,6,2026-03-23,Cancelled,136.0,0.49,1307971.24,False,False,False,False,False,False,2026-03,9617.44,Low
Unit-115,Northern Command,Transport Vehicle,249,Awaiting Parts,3452.7,9,2026-06-10,Delayed,561.0,0.97,1682735.8,False,False,False,False,False,False,2026-06,2999.53,High
Unit-106,Eastern Command,Communication Equipment,25,Operational,2206.1,6,2026-01-05,Delivered,315.0,0.85,479177.99,False,False,False,False,False,False,2026-01,1521.2,High
Unit-115,Western Command,Transport Vehicle,11,Awaiting Parts,3399.2,23,2026-02-16,Cancelled,239.0,0.59,1356894.07,False,False,False,False,False,False,2026-02,5677.38,Low
Unit-112,Central Command,Transport Vehicle,249,Unknown,4329.0,7,2026-06-10,Delayed,633.0,0.69,575171.82,False,False,True,False,False,False,2026-06,908.64,Moderate
Unit-127,Northern Command,Communication Equipment,13,Under Maintenance,280.6,8,2026-03-16,Delayed,573.0,0.47,805780.47,False,False,False,False,False,False,2026-03,1406.25,Low
Unit-127,Central Command,Communication Equipment,217,Under Maintenance,3356.1,37,2026-08-07,Delayed,676.0,0.47,1109695.68,False,False,False,False,False,False,2026-08,1641.56,Low
Unit-121,Northern Command,Medical Unit,45,Under Maintenance,4983.2,16,2026-03-01,Delivered,146.0,0.6,1886652.45,False,False,False,False,False,False,2026-03,12922.28,Moderate
Unit-115,Central Command,Artillery Support,56,Under Maintenance,1444.5,36,2026-05-18,Delivered,248.0,0.87,119512.59,False,False,False,False,False,False,2026-05,481.91,High
Unit-121,Southern Command,Communication Equipment,229,Under Maintenance,1592.8,5,2026-05-02,In Transit,489.0,0.45,1291215.36,False,False,False,False,False,False,2026-05,2640.52,Low
Unit-127,Central Command,Communication Equipment,212,Awaiting Parts,7134.462499999999,27,2026-07-19,Cancelled,132.0,0.83,1996093.71,False,False,False,False,True,False,2026-07,15121.92,High
Unit-121,Northern Command,Transport Vehicle,15,Decommissioned,3622.6,23,2026-03-31,Delivered,300.0,0.48,1560687.63,False,False,False,False,False,False,2026-03,5202.29,Low
Unit-109,Eastern Command,Transport Vehicle,17,Operational,1565.6,30,2026-02-16,Cancelled,665.0,0.98,2204708.37,False,False,False,False,False,False,2026-02,3315.35,High
Unit-121,Northern Command,Engineering Equipment,185,Under Maintenance,2281.3,11,2026-01-13,Delayed,767.0,0.86,768201.1,False,False,False,False,False,False,2026-01,1001.57,High
Unit-115,Central Command,Medical Unit,146,Decommissioned,1738.5,35,2026-01-23,Delayed,248.0,0.74,1565100.94,False,False,False,False,False,False,2026-01,6310.89,Moderate
Unit-124,Eastern Command,Transport Vehicle,130,Operational,4207.3,3,2026-04-09,Delivered,436.0,0.8,1115312.49,False,False,False,False,False,False,2026-04,2558.06,High
Unit-112,Northern Command,Artillery Support,18,Under Maintenance,1975.2,27,2026-03-21,In Transit,559.0,0.87,943952.08,False,False,False,False,False,False,2026-03,1688.64,High
Unit-118,Eastern Command,Transport Vehicle,40,Decommissioned,140.2,6,2026-07-14,Delivered,211.0,0.49,1346297.38,False,False,False,False,False,False,2026-07,6380.56,Low
Unit-100,Southern Command,Engineering Equipment,108,Awaiting Parts,4802.1,31,2026-01-18,Cancelled,711.0,0.83,592425.9,False,False,False,False,False,False,2026-01,833.23,High
Unit-103,Northern Command,Artillery Support,143,Under Maintenance,1332.6,38,2026-04-04,Delayed,201.0,0.92,2146426.6,False,False,False,False,False,False,2026-04,10678.74,High
Unit-112,Western Command,Transport Vehicle,94,Awaiting Parts,4489.9,1,2026-06-18,Cancelled,274.0,1.0,1031290.08,False,False,False,False,False,False,2026-06,3763.83,High
Unit-103,Southern Command,Medical Unit,125,Operational,1123.0,9,2026-07-27,Delayed,21.0,0.43,2286066.18,False,False,False,False,False,False,2026-07,108860.29,Low
Unit-106,Eastern Command,Communication Equipment,239,Operational,4099.9,32,2026-03-04,Delivered,484.0,0.82,1681079.88,False,False,False,False,False,False,2026-03,3473.31,High
Unit-100,Central Command,Communication Equipment,55,Under Maintenance,4267.4,2,2026-07-22,In Transit,176.0,0.98,440627.07,False,False,False,False,False,False,2026-07,2503.56,High
Unit-127,Central Command,Communication Equipment,136,Operational,3306.6,12,2026-08-03,In Transit,97.0,0.93,333025.01,False,False,False,False,False,False,2026-08,3433.25,High
Unit-118,Northern Command,Artillery Support,127,Decommissioned,2522.7,10,2026-03-18,Delivered,165.0,0.81,450913.29,False,False,False,False,False,False,2026-03,2732.81,High
Unit-121,Northern Command,Transport Vehicle,28,Under Maintenance,1851.2,30,2026-05-05,In Transit,346.0,0.69,2063681.97,False,False,False,False,False,False,2026-05,5964.4,Moderate
Unit-127,Western Command,Medical Unit,22,Awaiting Parts,2608.1,27,2026-05-17,Delayed,430.0,0.98,1568679.66,False,False,False,False,False,False,2026-05,3648.09,High
Unit-109,Northern Command,Artillery Support,120,Decommissioned,4514.4,20,2026-05-27,Cancelled,652.0,0.7,1294167.32,False,False,False,False,False,False,2026-05,1984.92,Moderate
Unit-109,Southern Command,Artillery Support,144,Awaiting Parts,4650.4,17,2026-04-11,Delayed,765.0,0.68,2379652.61,False,False,False,False,False,False,2026-04,3110.66,Moderate
Unit-109,Eastern Command,Communication Equipment,21,Decommissioned,1928.0,33,2026-04-17,Delivered,130.0,0.76,1183226.16,False,False,False,False,False,False,2026-04,9101.74,Moderate
Unit-124,Western Command,Transport Vehicle,171,Awaiting Parts,4592.8,20,2026-02-14,In Transit,212.0,0.94,1139176.28,False,False,False,False,False,False,2026-02,5373.47,High
Unit-100,Central Command,Engineering Equipment,34,Decommissioned,2095.9,0,2026-04-22,Delivered,538.0,1.0,305733.01,False,False,False,False,False,False,2026-04,568.28,High
Unit-103,Western Command,Transport Vehicle,172,Awaiting Parts,1424.4,0,2026-08-05,Delivered,111.0,0.49,1665156.52,False,False,False,False,False,False,2026-08,15001.41,Low
Unit-118,Eastern Command,Medical Unit,178,Operational,2274.1,30,2026-07-07,Delayed,26.0,0.81,948967.3,False,False,False,False,False,False,2026-07,36498.74,High
Unit-109,Eastern Command,Transport Vehicle,76,Awaiting Parts,1985.2,39,2026-03-14,In Transit,92.0,0.75,963085.62,False,False,False,False,False,False,2026-03,10468.32,Moderate
Unit-124,Eastern Command,Artillery Support,127,Under Maintenance,2677.4,28,2026-06-21,Delivered,290.0,0.65,2076282.0,False,False,False,False,False,False,2026-06,7159.59,Moderate
Unit-118,Western Command,Engineering Equipment,171,Decommissioned,425.7,39,2026-03-26,In Transit,322.0,0.62,1669852.2,False,False,False,False,False,False,2026-03,5185.88,Moderate
Unit-112,Central Command,Transport Vehicle,242,Under Maintenance,3760.0,24,2026-02-20,Delivered,584.0,0.82,1065794.09,False,False,False,False,False,False,2026-02,1824.99,High
Unit-103,Central Command,Transport Vehicle,172,Operational,1023.4,31,2026-07-16,In Transit,682.0,0.94,1310123.03,False,False,False,False,False,False,2026-07,1921.0,High
Unit-127,Southern Command,Medical Unit,11,Awaiting Parts,4162.8,1,2026-06-16,Delayed,46.0,0.76,1965679.45,False,False,False,False,False,False,2026-06,42732.16,Moderate
Unit-115,Central Command,Medical Unit,163,Decommissioned,1859.6,6,2026-02-27,In Transit,551.0,0.47,1885750.42,False,False,False,False,False,False,2026-02,3422.41,Low
Unit-115,Western Command,Medical Unit,81,Decommissioned,3437.6,36,2026-04-25,In Transit,639.0,0.73,381584.9,False,False,False,False,False,False,2026-04,597.16,Moderate
Unit-109,Northern Command,Communication Equipment,186,Awaiting Parts,193.8,0,2026-08-03,Delivered,732.0,0.55,475286.83,False,False,False,False,False,False,2026-08,649.3,Low
Unit-118,Southern Command,Medical Unit,187,Under Maintenance,1845.7,26,2026-03-15,In Transit,177.0,0.65,2127172.04,False,False,False,False,False,False,2026-03,12017.92,Moderate
Unit-109,Southern Command,Communication Equipment,44,Under Maintenance,1625.6,34,2026-02-18,In Transit,24.0,0.98,1993866.22,False,False,False,False,False,False,2026-02,83077.76,High
Unit-124,Eastern Command,Communication Equipment,92,Decommissioned,4790.8,9,2026-01-22,Delayed,257.0,0.8,79554.5,False,False,False,False,False,False,2026-01,309.55,High
Unit-103,Western Command,Communication Equipment,74,Awaiting Parts,3940.0,22,2026-06-22,Delivered,509.0,0.93,1452673.69,False,False,False,False,False,False,2026-06,2853.98,High
Unit-118,Northern Command,Engineering Equipment,108,Awaiting Parts,1495.3,7,2026-02-24,In Transit,475.0,0.57,2166846.75,False,False,False,False,False,False,2026-02,4561.78,Low
Unit-106,Eastern Command,Medical Unit,113,Awaiting Parts,3494.2,30,2026-01-18,Delayed,460.0,0.67,1287643.54,False,False,False,False,False,False,2026-01,2799.23,Moderate
Unit-112,Eastern Command,Medical Unit,163,Operational,2719.6,1,2026-03-03,In Transit,36.0,0.94,2166704.56,False,False,False,False,False,False,2026-03,60186.24,High
Unit-124,Southern Command,Communication Equipment,95,Awaiting Parts,1211.7,39,2026-06-27,In Transit,192.0,0.68,945598.09,False,False,False,False,False,False,2026-06,4924.99,Moderate
Unit-103,Western Command,Transport Vehicle,5,Under Maintenance,2228.1,29,2026-05-17,Delayed,227.0,0.59,1604060.18,False,False,False,False,False,False,2026-05,7066.34,Low
Unit-106,Eastern Command,Medical Unit,139,Decommissioned,2695.5,30,2026-02-04,Cancelled,634.0,0.91,344053.79,False,False,False,False,False,False,2026-02,542.67,High
Unit-100,Eastern Command,Medical Unit,29,Decommissioned,852.0,11,2026-02-20,In Transit,708.0,0.96,535178.33,False,False,False,False,False,False,2026-02,755.9,High
Unit-121,Eastern Command,Communication Equipment,54,Awaiting Parts,1135.3,18,2026-04-22,Delivered,61.0,0.9,362690.64,False,False,False,False,False,False,2026-04,5945.75,High
Unit-121,Southern Command,Artillery Support,240,Awaiting Parts,2796.2,4,2026-05-11,Cancelled,782.0,0.53,1547298.45,False,False,False,False,False,False,2026-05,1978.64,Low
Unit-106,Northern Command,Engineering Equipment,65,Decommissioned,1386.7,29,2026-03-14,In Transit,281.0,0.8,2429451.42,False,False,False,False,False,False,2026-03,8645.73,High
Unit-127,Southern Command,Transport Vehicle,19,Decommissioned,4654.7,33,2026-08-07,Cancelled,274.0,0.87,598311.02,False,False,False,False,False,False,2026-08,2183.62,High
Unit-106,Southern Command,Transport Vehicle,97,Awaiting Parts,648.5,21,2026-01-01,In Transit,427.0,0.47,2319677.21,False,False,False,False,False,False,2026-01,5432.5,Low
Unit-109,Southern Command,Transport Vehicle,72,Operational,1740.0,9,2026-03-03,Delayed,114.0,0.52,1384922.25,False,False,False,False,False,False,2026-03,12148.44,Low
Unit-103,Southern Command,Transport Vehicle,51,Decommissioned,3218.4,19,2026-07-25,Cancelled,337.0,0.78,2223241.13,False,False,False,False,False,False,2026-07,6597.15,Moderate
Unit-127,Western Command,Communication Equipment,68,Operational,2296.2,21,2026-05-22,In Transit,656.0,0.48,1340941.81,False,False,False,False,False,False,2026-05,2044.12,Low
Unit-115,Central Command,Medical Unit,165,Unknown,82.3,40,2026-06-28,Delivered,85.0,0.99,890416.57,False,False,True,False,False,False,2026-06,10475.49,High
Unit-109,Southern Command,Communication Equipment,181,Decommissioned,1840.6,31,2026-07-17,Delayed,376.0,0.57,1387138.1,False,False,False,False,False,False,2026-07,3689.2,Low
Unit-115,Eastern Command,Transport Vehicle,162,Under Maintenance,4623.0,25,2026-06-01,In Transit,163.0,0.53,3537507.31875,False,False,False,False,False,True,2026-06,21702.5,Low
Unit-106,Southern Command,Medical Unit,99,Decommissioned,7134.462499999999,36,2026-03-27,In Transit,82.0,0.77,1644820.19,False,False,False,False,True,False,2026-03,20058.78,Moderate
Unit-112,Eastern Command,Communication Equipment,165,Decommissioned,1454.0,32,2026-04-05,In Transit,548.0,0.94,595490.13,False,False,False,False,False,False,2026-04,1086.66,High
Unit-100,Northern Command,Transport Vehicle,187,Decommissioned,745.8,2,2026-05-09,Delayed,311.0,0.43,259906.09,False,False,False,False,False,False,2026-05,835.71,Low
Unit-100,Eastern Command,Artillery Support,56,Under Maintenance,2864.1,28,2026-03-01,Cancelled,246.0,0.84,226578.0,False,False,False,False,False,False,2026-03,921.05,High
Unit-127,Southern Command,Communication Equipment,66,Decommissioned,1330.2,6,2026-03-01,Delayed,543.0,0.66,2477070.7,False,False,False,False,False,False,2026-03,4561.82,Moderate
Unit-124,Central Command,Communication Equipment,86,Operational,1693.4,14,2026-07-01,Delivered,429.0,0.54,693371.37,False,False,False,False,False,False,2026-07,1616.25,Low
Unit-109,Western Command,Transport Vehicle,120,Under Maintenance,4004.3,10,2026-08-02,Delivered,653.0,0.92,2227333.51,False,False,False,False,False,False,2026-08,3410.92,High
Unit-124,Northern Command,Transport Vehicle,108,Awaiting Parts,2830.7,30,2026-05-08,Delayed,270.0,0.93,1540414.09,False,False,False,False,False,False,2026-05,5705.24,High
Unit-115,Central Command,Transport Vehicle,126,Awaiting Parts,1459.9,13,2026-03-17,Delivered,182.0,0.73,1534514.43,False,False,False,False,False,False,2026-03,8431.4,Moderate
Unit-127,Northern Command,Communication Equipment,56,Awaiting Parts,3170.6,38,2026-02-28,Delayed,683.0,0.61,305545.87,False,False,False,False,False,False,2026-02,447.36,Moderate
Unit-115,Northern Command,Medical Unit,125,Under Maintenance,217.8,26,2026-06-10,In Transit,116.0,0.92,947087.91,False,False,False,False,False,False,2026-06,8164.55,High
Unit-115,Eastern Command,Medical Unit,213,Under Maintenance,2605.9,13,2026-05-16,Delayed,726.0,0.73,116254.1,False,False,False,False,False,False,2026-05,160.13,Moderate
Unit-124,Southern Command,Transport Vehicle,136,Decommissioned,3341.8,34,2026-03-30,Delivered,133.0,0.45,1825735.38,False,False,False,False,False,False,2026-03,13727.33,Low
Unit-115,Northern Command,Artillery Support,162,Decommissioned,2758.1,35,2026-03-12,Cancelled,164.0,0.52,1347466.33,False,False,False,False,False,False,2026-03,8216.26,Low
Unit-106,Northern Command,Medical Unit,221,Decommissioned,676.5,13,2026-05-30,Cancelled,100.0,0.96,877949.09,False,False,False,False,False,False,2026-05,8779.49,High
Unit-124,Central Command,Communication Equipment,35,Under Maintenance,559.4,8,2026-06-22,Delivered,263.0,0.43,76087.41,False,False,False,False,False,False,2026-06,289.31,Low
Unit-115,Northern Command,Engineering Equipment,59,Under Maintenance,1210.4,20,2026-07-23,Delivered,518.0,0.86,865745.14,False,False,False,False,False,False,2026-07,1671.32,High
Unit-118,Eastern Command,Transport Vehicle,15,Unknown,2993.9,37,2026-04-24,Cancelled,274.0,0.5,50978.96,False,False,True,False,False,False,2026-04,186.05,Low
Unit-124,Eastern Command,Engineering Equipment,23,Awaiting Parts,1949.4,19,2026-05-23,Cancelled,717.0,0.43,795999.77,False,False,False,False,False,False,2026-05,1110.18,Low
Unit-115,Eastern Command,Medical Unit,174,Operational,3141.6,12,2026-02-22,Delayed,320.0,0.46,1784953.22,False,False,False,False,False,False,2026-02,5577.98,Low
Unit-112,Western Command,Artillery Support,36,Under Maintenance,2935.5,12,2026-01-03,Cancelled,758.0,0.95,1320225.0,False,False,False,False,False,False,2026-01,1741.72,High
Unit-127,Central Command,Transport Vehicle,11,Decommissioned,1804.6,40,2026-07-02,Cancelled,424.5,0.77,433349.96,False,True,False,False,False,False,2026-07,1020.85,Moderate
Unit-124,Southern Command,Engineering Equipment,141,Under Maintenance,4551.9,38,2026-05-16,Cancelled,209.0,0.45,1871912.32,False,False,False,False,False,False,2026-05,8956.52,Low
Unit-124,Western Command,Communication Equipment,158,Decommissioned,3249.5,30,2026-05-30,In Transit,610.0,0.73,895504.45,False,False,False,False,False,False,2026-05,1468.04,Moderate
Unit-103,Southern Command,Artillery Support,218,Under Maintenance,3909.9,37,2026-04-16,In Transit,424.5,0.78,1068567.18,False,True,False,False,False,False,2026-04,2517.24,Moderate
Unit-115,Central Command,Communication Equipment,186,Operational,3946.8,37,2026-03-04,In Transit,253.0,0.48,3537507.31875,False,False,False,False,False,True,2026-03,13982.24,Low
Unit-106,Eastern Command,Artillery Support,188,Decommissioned,4194.4,33,2026-06-05,Delayed,123.0,0.55,1314268.07,False,False,False,False,False,False,2026-06,10685.11,Low
Unit-121,Central Command,Medical Unit,51,Operational,379.1,8,2026-05-26,Delivered,769.0,0.92,1294742.5,False,False,False,False,False,False,2026-05,1683.67,High
Unit-106,Western Command,Transport Vehicle,155,Awaiting Parts,846.6,20,2026-02-18,Delivered,188.0,0.98,299013.08,False,False,False,False,False,False,2026-02,1590.5,High
Unit-103,Eastern Command,Medical Unit,48,Decommissioned,1382.1,25,2026-07-02,Cancelled,443.0,0.81,890445.93,False,False,False,False,False,False,2026-07,2010.04,High
Unit-106,Northern Command,Communication Equipment,109,Under Maintenance,804.1,23,2026-05-11,Delivered,424.5,0.66,3537507.31875,False,True,False,False,False,True,2026-05,8333.35,Moderate
Unit-109,Northern Command,Engineering Equipment,99,Awaiting Parts,4488.2,21,2026-04-20,Cancelled,177.0,0.43,1263363.09,False,False,False,False,False,False,2026-04,7137.64,Low
Unit-106,Western Command,Medical Unit,121,Decommissioned,4669.5,36,2026-04-05,Cancelled,800.0,0.98,854806.79,False,False,False,False,False,False,2026-04,1068.51,High
Unit-106,Northern Command,Medical Unit,30,Awaiting Parts,1486.7,34,2026-02-23,Cancelled,386.0,0.91,1524816.57,False,False,False,False,False,False,2026-02,3950.3,High
Unit-103,Central Command,Communication Equipment,41,Awaiting Parts,7134.462499999999,36,2026-01-25,Cancelled,442.0,0.68,1887591.47,False,False,False,False,True,False,2026-01,4270.57,Moderate
Unit-103,Eastern Command,Medical Unit,241,Operational,2481.2,13,2026-06-27,Delivered,115.0,0.94,500362.94,True,False,False,False,False,False,2026-06,4350.98,High
Unit-106,Southern Command,Communication Equipment,230,Unknown,2846.7,33,2026-02-10,Delayed,348.0,0.47,1816252.08,False,False,True,False,False,False,2026-02,5219.12,Low
Unit-103,Eastern Command,Communication Equipment,55,Operational,4123.1,35,2026-05-08,Delayed,318.0,0.89,1978765.16,False,False,False,False,False,False,2026-05,6222.53,High
